  19.0000  -2.0000   0.0000  -4.0000   0.0000   0.0000  -1.0000  -1.0000  -2.0000   0.0000  -4.0000  -4.0000        	-122.0000
   0.0000  25.6842  -3.0000  -3.6316  -4.0000  -2.0000  -2.1579  -3.1579  -3.3158   0.0000  -2.6316  -1.6316        	-122.2632
   0.0000   0.0000  22.7418  -3.7336  -1.3443  -4.1721  -2.2910  -3.3770  -3.4959  -1.0000  -0.6475  -2.5615        	-100.3648
   0.0000   0.0000   0.0000  18.8884  -1.2707  -3.7547  -2.5284  -1.7288  -1.8564  -0.1770  -3.5572  -3.8877        	-88.6057
   0.0000   0.0000   0.0000   0.0000  12.6538  -2.6191  -2.4559  -0.5702  -1.6456  -3.1003  -0.5193  -1.6680        	-45.4389
   0.0000   0.0000   0.0000   0.0000   0.0000  25.5896  -5.9353  -3.8212  -2.2435  -1.7759  -5.0423  -6.5233        	-89.2834
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  16.5780  -3.3816  -2.6182  -2.5234  -3.3119  -4.3943        	-47.5741
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  20.9362  -6.2735  -2.9829  -5.6460  -5.6690        	-47.4752
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  18.3208  -5.5634  -5.4544  -7.0525        	-34.3742
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  18.9480  -8.4782 -10.0206        	-22.2300
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  19.8718 -19.0126        	-6.1247
   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   1.1843        	18.9484
