  17.1  -3.0  -2.0   0.0  -4.0   0.0   0.0  -1.0  -1.0  -2.0   0.0  -4.0	 -99.5
  -3.0  32.0  -4.0  -3.0  -2.0  -3.0  -3.0  -4.0  -2.0  -2.0  -3.0  -3.0	-151.0
  -2.0  -4.0  24.0   0.0  -2.0  -1.0  -2.0  -2.0  -3.0  -3.0  -1.0  -4.0	-100.0
   0.0  -3.0   0.0  16.0  -2.0  -3.0  -3.0  -1.0   0.0  -2.0  -2.0   0.0	 -41.0
  -4.0  -2.0  -2.0  -2.0  22.0  -4.0   0.0  -1.0  -3.0  -2.0  -1.0  -1.0	 -14.0
   0.0  -3.0  -1.0  -3.0  -4.0  21.0   0.0  -3.0  -3.0  -1.0  -1.0  -2.0	 -11.0
   0.0  -3.0  -2.0  -3.0   0.0   0.0  14.0   0.0  -2.0  -2.0  -2.0   0.0	  14.0
  -1.0  -4.0  -2.0  -1.0  -1.0  -3.0   0.0  17.0  -1.0  -3.0   0.0  -1.0	  43.0
  -1.0  -2.0  -3.0   0.0  -3.0  -3.0  -2.0  -1.0  26.0  -3.0  -4.0  -4.0	  43.0
  -2.0  -2.0  -3.0  -2.0  -2.0  -1.0  -2.0  -3.0  -3.0  23.0  -2.0  -1.0	  92.0
   0.0  -3.0  -1.0  -2.0  -1.0  -1.0  -2.0   0.0  -4.0  -2.0  19.0  -3.0	  75.0
  -4.0  -3.0  -4.0   0.0  -1.0  -2.0   0.0  -1.0  -4.0  -1.0  -3.0  23.0	 150.0
