   18   -3   -2    0   -4    0    0   -1   -1   -2    0   -4	  -95
   -3   32   -4   -3   -2   -3   -3   -4   -2   -2   -3   -3	 -151
   -2   -4   24    0   -2   -1   -2   -2   -3   -3   -1   -4	 -100
    0   -3    0   16   -2   -3   -3   -1    0   -2   -2    0	  -41
   -4   -2   -2   -2   22   -4    0   -1   -3   -2   -1   -1	  -14
    0   -3   -1   -3   -4   21    0   -3   -3   -1   -1   -2	  -11
    0   -3   -2   -3    0    0   14    0   -2   -2   -2    0	   14
   -1   -4   -2   -1   -1   -3    0   17   -1   -3    0   -1	   43
   -1   -2   -3    0   -3   -3   -2   -1   26   -3   -4   -4	   43
   -2   -2   -3   -2   -2   -1   -2   -3   -3   23   -2   -1	   92
    0   -3   -1   -2   -1   -1   -2    0   -4   -2   19   -3	   75
   -4   -3   -4    0   -1   -2    0   -1   -4   -1   -3   23	  150
