  26.1  -2.0   0.0  -4.0   0.0   0.0  -1.0  -1.0  -2.0   0.0  -4.0  -4.0  -3.0  -2.0  -3.0	-230.5
  -3.0  31.0  -2.0  -2.0  -3.0  -3.0   0.0  -2.0  -1.0  -2.0  -2.0  -3.0  -3.0  -1.0  -4.0	-204.0
  -2.0  -3.0  22.0  -1.0   0.0  -2.0  -2.0   0.0  -4.0   0.0  -1.0  -3.0  -2.0  -1.0  -1.0	-110.0
   0.0  -3.0  -3.0  20.0  -1.0  -2.0   0.0  -2.0  -2.0  -2.0   0.0  -1.0  -3.0   0.0  -1.0	 -72.0
  -3.0  -4.0  -4.0  -2.0  38.0  -3.0  -4.0  -2.0   0.0  -1.0  -3.0  -4.0  -4.0   0.0  -4.0	-106.0
  -4.0  -3.0  -3.0  -1.0  -1.0  30.0  -1.0   0.0   0.0  -3.0  -4.0  -3.0  -3.0  -3.0  -1.0	 -61.0
   0.0   0.0  -3.0  -1.0  -2.0  -1.0  18.0  -2.0   0.0  -3.0  -1.0  -4.0   0.0  -1.0   0.0	 -22.0
  -4.0  -2.0  -3.0  -1.0  -3.0  -3.0  -4.0  33.0  -2.0  -4.0   0.0  -2.0  -1.0  -2.0  -2.0	  29.0
  -3.0  -4.0  -3.0  -3.0  -4.0  -2.0  -4.0   0.0  39.0  -2.0  -4.0  -4.0  -3.0   0.0  -3.0	  63.0
  -4.0  -2.0  -3.0  -2.0  -2.0  -2.0  -2.0  -1.0  -1.0  24.0   0.0   0.0  -1.0  -3.0  -1.0	  92.0
  -2.0  -3.0  -3.0  -4.0  -1.0  -1.0  -4.0  -3.0  -2.0  -4.0  30.0   0.0   0.0  -2.0  -1.0	 133.0
  -1.0  -4.0  -3.0  -2.0  -4.0  -3.0  -3.0   0.0  -4.0  -3.0  -3.0  31.0   0.0  -1.0   0.0	 174.0
  -3.0   0.0  -1.0   0.0  -1.0  -1.0  -4.0  -1.0  -2.0  -2.0  -1.0  -1.0  20.0  -1.0  -2.0	 102.0
  -3.0  -4.0  -2.0  -1.0   0.0   0.0  -3.0  -4.0  -3.0  -4.0   0.0   0.0  -3.0  28.0  -1.0	 197.0
   0.0  -1.0   0.0   0.0   0.0  -2.0  -4.0  -4.0  -1.0  -1.0  -1.0  -2.0   0.0  -1.0  17.0	 113.0
