   -59.00    76.00     3.00    69.00   -26.00   -54.00   -79.00   -88.00   -72.00    43.00   -23.00   -95.00    66.00    44.00    12.00		 -2022.00
     0.00    66.83   -17.56  -109.86   -86.15   -59.93    46.73    -0.59    66.42   -17.02    25.29    52.71   -89.31   -88.20    94.76		  -926.02
     0.00     0.00   -54.69  -416.77  -243.30  -179.73   276.51   186.68   332.55  -160.42   162.21   267.77  -269.77  -220.89   332.12		  4120.59
     0.00     0.00     0.00   212.04    80.24    68.93  -134.90  -114.04   -81.84   139.77   -14.08  -126.64    70.56   141.73  -138.73		    25.79
     0.00     0.00     0.00     0.00    51.68   134.44    20.16   -82.32   -56.45    74.09   -87.26   -58.82   -68.11   -49.83  -154.81		 -5899.21
     0.00     0.00     0.00     0.00     0.00    56.62    70.41    28.37    98.91    88.92   187.72    56.00   -89.01    22.03    62.33		  7991.33
     0.00     0.00     0.00     0.00     0.00     0.00    37.62    48.59   140.78   132.32   330.10   209.75  -248.16    78.36   269.47		 15298.74
     0.00     0.00     0.00     0.00     0.00     0.00     0.00   355.71   779.17   618.42  1662.74  1251.76 -1502.04   420.83  1580.92		 80102.73
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   295.00   682.18   938.03   978.18 -1390.05   115.15  1058.11		 41652.91
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   255.65   329.37   620.87  -653.85  -120.85   579.02		 16164.35
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   512.51  1073.99  -746.39  -409.60   972.99		 23296.82
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -1.76  -176.65   -74.00    85.32		 -2742.08
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00 32592.46 13876.14-15918.67		501387.31
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   246.26   104.50		  6418.00
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -82.12		 -1560.30
