   -59.00    76.00     3.00    69.00   -26.00   -54.00   -79.00   -88.00   -72.00    43.00   -23.00   -95.00    66.00    44.00    12.00		 -2022.00
     0.00    66.83   -17.56  -109.86   -86.15   -59.93    46.73    -0.59    66.42   -17.02    25.29    52.71   -89.31   -88.20    94.76		  -926.02
     0.00  -185.05    -6.07  -112.56    -4.75   -13.78   147.12   188.32   148.63  -113.31    92.19   121.81   -22.49    23.34    69.73		  6684.70
     0.00  -110.00   -30.00   -56.00   -40.00   -26.00    86.00    88.00   167.00    -5.00   119.00    75.00   -73.00    49.00    63.00		  5988.00
     0.00  -137.97   -22.29  -119.63     6.83    98.19   156.25    65.12   123.92     3.20    27.54    59.46  -139.34   -37.56   -60.15		   435.20
     0.00    -1.49    45.68   -58.41    42.46    55.80    95.81   103.78   -13.27   -55.95    92.14    83.86    10.92   -57.39    72.71		  5385.05
     0.00   -73.53     1.97   -79.78    27.63   -32.39    -8.44    31.66   -36.19   -70.15   -75.41   125.41  -128.75   -18.83    83.86		 -2365.15
     0.00   -16.47    -5.97    -6.22   -16.63   114.39   -72.56   119.34   101.19   -74.85   -92.59   -25.41   -25.25   -42.17   -73.86		 -2681.85
     0.00  -118.51    14.32     5.41   -41.46   -25.80    82.19    46.22   -48.73    68.95   -73.14    98.14   -79.92  -108.61    -9.71		 -2433.05
     0.00   -59.07   -63.42   -83.75    19.34   160.63    42.49    44.76   138.17   -92.41    -1.08    89.08   -87.32   -63.88   -21.69		   181.59
     0.00    39.22    74.63   172.42    -8.10  -160.29  -125.85  -206.73  -142.05    13.32   -11.47  -118.53    88.80     2.86   -40.49		 -6340.68
     0.00  -105.12   -81.49    27.69   -49.41   -15.15    48.61   101.08   125.80    38.29    21.10    -9.10   -70.81    34.46    53.03		  2938.29
     0.00   -66.29   -50.05    19.83    13.44   154.92    46.34   159.49    10.22   -78.73    33.39    15.61   -41.12    27.25     6.80		  3206.27
     0.00  -178.22    80.37  -106.42     7.10    21.29   200.85    76.73   176.05   -68.32   -41.53    83.53    -1.80   -82.86    34.49		  3227.68
     0.00   175.08   -80.22    56.93   -26.42   -46.03   -45.86   -56.20  -136.71    40.51    35.36   -71.36   174.15    26.10   -69.88		  -651.49
