    -59     76      3     69    -26    -54    -79    -88    -72     43    -23    -95     66     44     12		  -2022
    -11     81    -17    -97    -91    -70     32    -17     53     -9     21     35    -77    -80     97		  -1303
    -80    -82     -2    -19    -40    -87     40     69     51    -55     61     -7     67     83     86		   3943
    -59    -34    -27     13    -66    -80      7      0     95     38     96    -20     -7     93     75		   3966
    -45    -80    -20    -67    -13     57     96     -2     69     36     10    -13    -89     -4    -51		  -1107
    -26     32     47    -28     31     32     61     65    -45    -37     82     42     40    -38     78		   4494
    -40    -22      4    -33     10    -69    -62    -28    -85    -41    -91     61    -84     11     92		  -3736
    -19      8     -5     16    -25     97    -98     91     78    -61   -100    -56     -4    -28    -70		  -3333
    -33    -76     16     44    -56    -56     38     -3    -89     93    -86     45    -43    -84     -3		  -3564
    -87     53    -59     18    -19     81    -74    -85     32    -29    -35    -51     10      1     -4		  -2800
     91    -78     70     66     32    -77     -4    -71    -31    -53     24     28    -13    -65    -59		  -3222
    -49    -42    -79     85    -71    -60    -17     28     66     74      2    -88    -16     71     63		   1259
    -60     11    -47     90    -13    100    -34     70    -63    -35     10    -81     26     72     19		   1150
    -91    -61     85      0    -33    -62     79    -59     65     -2    -77    -63    100    -15     53		    109
     94     54    -85    -53     15     40     80     84    -22    -28     72     80     69    -44    -89		   2570
