    94.00    54.00   -85.00   -53.00    15.00    40.00    80.00    84.00   -22.00   -28.00    72.00    80.00    69.00   -44.00   -89.00		  2570.00
     0.00  -130.28   152.29   117.31    17.48  -115.72   -81.45  -152.32    -9.70   -25.89   -45.70   -49.45   -79.80   -22.40    27.16		 -5709.98
     0.00     0.00  -139.50    44.90   -65.04   -26.85    33.36    87.98    55.56    62.16    44.39   -41.04    28.45    50.45    13.72		  3205.77
     0.00     0.00     0.00  -181.04    44.72   148.11   138.50    23.32    13.12   -21.89    24.01    82.33   -48.09   -60.59  -117.09		  -352.68
     0.00     0.00     0.00     0.00  -112.65  -157.66     4.44   -61.93    73.82     3.89    22.65   -11.06  -106.98   -72.87   112.43		 -3102.24
     0.00     0.00     0.00     0.00     0.00   125.98   -77.16    96.33    64.63   -73.63   -91.94   -35.49     5.61   -38.65  -112.34		 -3305.12
     0.00     0.00     0.00     0.00     0.00     0.00  -158.84    62.80   -39.68  -129.19  -164.28    38.90   -53.26   -44.23     0.38		 -6854.28
     0.00     0.00     0.00     0.00     0.00     0.00     0.00  -175.00     5.37   -66.18    31.96    19.80   -36.79   -91.01   -42.99		 -5240.84
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  -178.25    11.50  -109.95   127.04    12.70  -116.11   -41.85		 -4442.17
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  -168.46    72.33    52.74   165.24   -52.07   -60.83		   286.35
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  -189.97   -19.95    16.81   -56.09   -14.36		 -4165.42
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -91.52  -194.97    84.72   122.78		  -921.04
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   186.29   -45.72  -203.37		 -1520.10
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  -112.39   -98.19		 -3888.72
     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -60.10		 -1141.84
